usage,viewportWidth,pixelRatio,imgWidth,imgVW,idealIntrinsicWidth_capped2x,idealIntrinsicWidth,intrinsicWidth
13.9%,375,3,172,46,344,516,516
13.4%,414,2,190,46,380,380,380
9.5%,390,3,179,46,358,537,0
8.6%,375,2,172,46,344,344,0
8.3%,414,3,190,46,380,570,0
6.1%,360,3,165,46,330,495,0
5.2%,428,3,196,46,392,588,0
4.1%,1920,1,780,41,780,780,0
3.7%,412,2.63,189,46,378,497.07,0
2.3%,1440,2,551,38,1102,1102,0
1.8%,1366,1,522,38,522,522,0
1.6%,360,2,165,46,330,330,0
1.5%,768,2,352,46,704,704,0
1.4%,393,2.75,180,46,360,495,0
1.1%,1536,1.25,587,38,733.75,733.75,0
0.8%,320,2,147,46,294,294,0
