usage,viewportWidth,pixelRatio,imgWidth,imgVW,idealIntrinsicWidth_capped2x,idealIntrinsicWidth,intrinsicWidth,renderedPxr,accuracy,isOK,waste
13.90%,375,3,164,44,328,492,364,2.22,111%,(+),1.5%
13.40%,414,2,182,44,364,364,364,2.00,100%,??,0.0%
9.50%,390,3,171,44,342,513,364,2.13,106%,(+),0.6%
8.60%,375,2,164,44,328,328,364,2.22,111%,(+),0.9%
8.30%,414,3,182,44,364,546,364,2.00,100%,??,0.0%
6.10%,360,3,157,44,314,471,364,2.32,116%,(+),1.0%
5.20%,428,3,189,44,378,567,364,1.93,96%,(-),-0.2%
4.10%,1920,1,446,23,446,446,446,1.00,100%,??,0.0%
3.70%,412,2.63,181,44,362,476.03,364,2.01,101%,(+),0.0%
2.30%,1440,2,335,23,670,670,688,2.05,103%,(+),0.1%
1.80%,1366,1,317,23,317,317,364,1.15,115%,(+),0.3%
1.60%,360,2,157,44,314,314,364,2.32,116%,(+),0.3%
1.50%,768,2,344,45,688,688,688,2.00,100%,??,0.0%
1.40%,393,2.75,173,44,346,475.75,364,2.10,105%,(+),0.1%
1.10%,1536,1.25,357,23,446.25,446.25,446,1.25,100%,(-),0.0%
0.80%,320,2,139,43,278,278,364,2.62,131%,BIG (++),0.2%
